locus,count-nuc,missing
MYCO003814,27,6
MYCO003815,40,17
MYCO003817,43,10
MYCO003818,62,7
MYCO003819,23,10
MYCO003820,75,48
MYCO003821,41,6
MYCO003822,81,20
MYCO003823,180,30
MYCO003824,103,76
MYCO003825,328,137
MYCO003826,105,28
MYCO003827,96,121
MYCO003828,20,14
MYCO003829,99,1177
MYCO003830,46,1311
MYCO003831,40,12
MYCO003832,37,23
MYCO003833,54,70
MYCO003836,33,574
MYCO003837,41,18
MYCO003838,54,6
MYCO003839,56,0
MYCO003840,38,76
MYCO003841,33,0
MYCO003843,60,50
MYCO003844,27,110
MYCO003845,11,4320
MYCO003846,30,2
MYCO003848,72,80
MYCO003850,40,6
MYCO003851,17,6
MYCO003852,26,53
MYCO003853,21,6
MYCO003854,168,256
MYCO003855,41,5
MYCO003856,70,39
MYCO003857,12,14
MYCO003860,87,109
MYCO003861,33,60
MYCO003862,76,80
MYCO003863,67,5
MYCO003864,67,644
MYCO003865,16,10
MYCO003866,44,20
MYCO003867,34,7
MYCO003868,75,27
MYCO003869,103,93
MYCO003870,144,14
MYCO003871,121,15
MYCO003872,4,5601
MYCO003873,54,11
MYCO003874,16,4
MYCO003875,16,3
MYCO003876,111,1793
MYCO003877,110,8
MYCO003878,49,387
MYCO003879,188,1573
MYCO003880,22,3
MYCO003881,127,126
MYCO003882,125,96
MYCO003883,89,10
MYCO003884,106,225
MYCO003885,122,146
MYCO003886,94,1016
MYCO003887,102,182
MYCO003888,91,95
MYCO003889,72,258
MYCO003890,22,73
MYCO003891,27,18
MYCO003892,99,381
MYCO003893,19,69
MYCO003894,243,1408
MYCO003895,101,476
MYCO003896,67,140
MYCO003897,3,5753
MYCO003898,12,2709
MYCO003899,90,697
MYCO003900,109,924
MYCO003901,32,55
MYCO003902,44,18
MYCO003903,185,747
MYCO003904,29,10
MYCO003905,31,21
MYCO003906,38,27
MYCO003909,165,29
MYCO003910,305,75
MYCO003911,2,5803
MYCO003912,87,65
MYCO003914,24,4
MYCO003916,67,4
MYCO003919,222,269
MYCO003922,26,4
MYCO003923,39,2
MYCO010064,14,7
MYCO010078,42,10
MYCO010157,8,1
MYCO010186,6,38
MYCO010192,14,652
MYCO010236,7,3
MYCO010397,15,10
MYCO010456,18,8
MYCO010470,17,790
MYCO010492,12,6
MYCO010500,6,73
MYCO010530,8,2
MYCO010590,9,90
MYCO010609,13,24
MYCO010616,16,1
MYCO010634,12,5
MYCO010691,10,3
MYCO010749,8,8
MYCO010755,6,99
MYCO010787,7,0
MYCO010959,7,2
MYCO011028,7,1485
MYCO011087,8,29
MYCO011089,9,1489
MYCO011116,11,18
MYCO011135,19,1
MYCO011159,12,5
MYCO011290,14,42
MYCO011322,25,6
MYCO011366,12,21
MYCO011473,10,7
MYCO011489,10,68
MYCO011498,14,55
MYCO011507,37,63
MYCO011508,12,24
MYCO011638,13,11
MYCO011706,7,7
MYCO011765,14,54
MYCO011888,12,2
MYCO011954,11,13
MYCO011962,14,0
MYCO011982,9,3
MYCO011990,20,46
MYCO011991,9,2
MYCO012023,47,1079
MYCO012063,16,6
MYCO012077,12,62
MYCO012142,11,1
MYCO012160,14,2762
MYCO012219,21,2
MYCO012231,23,27
MYCO012237,10,16
MYCO012250,1,5807
MYCO012274,12,177
MYCO012306,33,6
MYCO012307,7,9
MYCO012309,20,1
MYCO012331,12,3
MYCO012395,9,3
MYCO012401,7,34
MYCO012438,16,1
MYCO012468,12,2
MYCO012530,12,4
MYCO012548,12,1
MYCO012601,11,3
MYCO012614,13,41
MYCO012737,7,1
MYCO012801,8,0
MYCO012828,11,140
MYCO012922,10,0
MYCO012943,35,8
MYCO012970,3,0
MYCO012998,14,3
MYCO013018,6,2837
MYCO013022,18,203
MYCO013032,18,1
MYCO013098,17,21
MYCO013136,25,0
MYCO013190,11,210
MYCO013196,6,2
MYCO013197,9,45
MYCO013198,15,4
MYCO013208,15,0
MYCO013221,12,0
MYCO013224,15,4
MYCO013312,19,31
MYCO013395,24,18
MYCO013566,18,1
MYCO013697,14,36
MYCO013705,23,24
MYCO013724,10,562
MYCO013770,10,7
MYCO020078,16,2
MYCO020500,6,1487
MYCO022231,19,3930
MYCO022306,23,6
MYCO022307,30,55
MYCO022395,14,18
MYCO023224,10,5
MYCO023724,27,582
MYCO023770,13,6
MYCO032307,7,15
